_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
718,Trillium Health Partners - McCall Continuing Care - 3rd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-04-10,2024-05-07,N
719,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Parainfluenza,None,2024-04-09,2024-04-24,N
720,Lakeside Long Term Care - 2nd Fl,150 Dunn Ave,LTCH,Respiratory,Rhinovirus,None,2024-04-09,2024-04-17,N
721,Weston Terrace Care Community - 2B,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2024-04-09,2024-04-19,N
722,Castleview Wychwood Towers - 4th Fl,351 Christie St,LTCH,Respiratory,COVID-19,None,2024-04-09,2024-05-01,N
723,Chartwell Scarlett Heights Retirement Residence - 2nd Fl Memory Living Unit,4005 Eglinton Ave W,Retirement Home,Respiratory,Unable to identify,None,2024-04-09,2024-04-17,N
724,Bill McMurray Residence,180 Sheridan Ave,Retirement Home,Respiratory,COVID-19,None,2024-04-08,2024-04-18,N
725,Hawthorne Place Care Centre - 2nd Fl,2045 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-04-08,2024-04-29,N
726,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,COVID-19,None,2024-04-08,2024-04-22,N
727,Ukrainian Canadian Care Centre - 2nd & 3rd Fl,60 Richview Rd,LTCH,Respiratory,Parainfluenza,None,2024-04-08,2024-04-25,N
728,West Park Healthcare Centre - 3 West F,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Metapneumovirus,None,2024-04-06,2024-04-15,N
729,"Harold And Grace Baker Centre - 3rd, 4th, 5th & 6th Fl",1 Northwestern Ave,Retirement Home,Enteric,Unable to identify,None,2024-04-05,2024-04-19,N
730,Craiglee Nursing Home - 3 West,102 Craiglee Dr,LTCH,Respiratory,COVID-19,None,2024-04-05,2024-04-23,N
731,UHN - Toronto General Hospital - 7MB,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza B,None,2024-04-05,2024-04-11,N
732,Cheltenham Care Community - 3rd Fl North,5935 Bathurst St,LTCH,Respiratory,Metapneumovirus,None,2024-04-04,2024-05-02,N
733,Bendale Acres - 1 West,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-04-03,2024-04-11,N
734,Bendale Acres - 1W & 4th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Unable to identify,None,2024-04-03,2024-04-22,N
